sale_id,sale_number,sale_year,sale_month,private_sales_weekly_2026,private_sales_weekly_2025,private_sales_todate_2026,private_sales_todate_2025,public_auction_weekly_2026,public_auction_weekly_2025,public_auction_todate_2026,public_auction_todate_2025,forward_contracts_weekly_2026,forward_contracts_weekly_2025,forward_contracts_todate_2026,forward_contracts_todate_2025,total_sold_weekly_2026,total_sold_weekly_2025,total_sold_todate_2026,total_sold_todate_2025,fx_usd_2026,fx_usd_2025,fx_usd_2024,fx_gbp_2026,fx_gbp_2025,fx_gbp_2024,fx_eur_2026,fx_eur_2025,fx_eur_2024,fx_jpy_2026,fx_jpy_2025,fx_jpy_2024
SALE_2024_22,22,2024.0,June,128450.0,115703.0,2455150.0,2211730.0,5183167.0,4990272.0,98602948.0,99103792.0,43240.0,56700.0,693460.0,1306628.0,5354857.0,5162675.0,101751558.0,102622150.0,297.14,284.84,356.09,379.41,353.39,443.17,322.62,303.9,378.53,1.89,2.03,2.67
SALE_2024_10,10,2024.0,March,157552.0,129520.0,1028421.0,902663.0,4175441.0,3870856.0,41797407.0,40162411.0,40000.0,62000.0,200000.0,586128.0,4372993.0,4062376.0,43025828.0,41651202.0,302.97,318.3,225.2,383.28,382.8,294.06,326.98,339.07,244.48,2.01,2.34,1.94
SALE_2024_44,44,2024.0,November,173299.0,101542.0,5665178.0,4392340.0,4870585.0,4504747.0,205923934.0,205684839.0,63050.0,10500.0,2148336.0,2053908.0,5106934.0,4616789.0,213737448.0,212131087.0,288.54,321.59,360.88,371.41,395.57,412.93,309.42,342.73,358.78,1.86,2.13,2.44
SALE_2025_17,17,2025.0,May,198639.0,106849.0,3638947.0,1891441.0,5758934.0,4130224.0,77280065.0,73581387.0,59600.0,39600.0,1023936.0,504125.0,6017173.0,4276673.0,81942948.0,75976953.0,295.18,291.52,313.73,390.78,363.69,391.64,332.13,310.93,343.81,2.04,1.82,2.27
SALE_2024_31,31,2024.0,August,132486.0,104060.0,3860203.0,3022488.0,4981388.0,5256697.0,143155247.0,148286682.0,34910.0,11500.0,1182330.0,1800508.0,5148784.0,5372257.0,148197780.0,153109678.0,297.69,315.11,357.14,379.07,401.21,429.1,324.33,344.98,361.74,2.04,2.19,2.62
SALE_2024_06,6,2024.0,February,135414.0,120438.0,569279.0,505431.0,5204487.0,4190858.0,24916939.0,23556894.0,20000.0,65000.0,100000.0,325088.0,5359901.0,4376296.0,25586218.0,24387413.0,308.56,360.09,198.5,387.69,431.81,267.22,330.69,384.45,226.65,2.07,2.7,1.71
SALE_2026_01,1,2026.0,January,277579.0,161148.0,10853408.0,6685057.0,3509490.0,4865410.0,242834413.0,239352323.0,82000.0,116760.0,2440939.0,2693516.0,3869069.0,5143318.0,256128760.0,248730896.0,306.23,291.32,321.94,413.65,363.13,407.0,358.0,300.65,349.48,1.95,1.83,2.25
SALE_2026_14,14,2026.0,March,232004.0,233731.0,3217855.0,3057429.0,4184697.0,4771126.0,59649806.0,62053160.0,5310.0,52760.0,565870.0,845376.0,4422011.0,5057617.0,63433531.0,65955965.0,311.72,293.44,295.2,410.58,373.68,369.0,358.07,320.23,315.32,1.94,1.98,1.93
SALE_2025_26,26,2025.0,July,160056.0,162820.0,5528609.0,3101861.0,5573326.0,4588064.0,126750175.0,118929736.0,44000.0,42700.0,1402831.0,890150.0,5777382.0,4793584.0,133681615.0,122921747.0,296.24,300.39,299.87,402.57,378.16,379.87,347.16,1.85,2.06,2.03,320.69,326.27
SALE_2024_18,18,2024.0,May,100882.0,86902.0,1992324.0,1705727.0,4653577.0,4962283.0,78233911.0,77053387.0,10075.0,35000.0,514200.0,1072088.0,4764534.0,5084185.0,80740435.0,79831202.0,294.38,311.0,364.22,366.22,391.66,448.35,314.52,341.1,388.12,1.88,2.29,2.82
SALE_2025_39,39,2025.0,October,586211.0,100633.0,8231442.0,4864312.0,4220669.0,5272353.0,188477613.0,181625885.0,149120.0,101300.0,1903819.0,1828130.0,4956000.0,5474286.0,198612874.0,188318327.0,298.74,290.3,318.31,401.36,384.28,383.84,348.28,319.75,331.89,1.97,2.0,2.11
SALE_2025_47,47,2025.0,December,303380.0,215272.0,9858706.0,5990642.0,4868461.0,4970232.0,224754260.0,220392490.0,46410.0,73300.0,2219339.0,2321156.0,5218251.0,5258804.0,236832305.0,228704288.0,304.8,286.66,324.15,405.24,357.94,410.81,353.85,298.48,355.16,1.95,1.85,2.19
SALE_2024_40,40,2024.0,October,191085.0,119033.0,5055397.0,3920696.0,5166727.0,4028188.0,186792612.0,189123529.0,71046.0,17980.0,1899176.0,1991988.0,5428858.0,4165201.0,193747185.0,195036213.0,288.96,318.02,359.23,376.96,390.21,394.42,315.81,335.88,345.67,1.94,2.13,2.44
SALE_2024_27,27,2024.0,July,166612.0,89871.0,3268473.0,2643633.0,4615329.0,5439117.0,123545065.0,127325106.0,75340.0,49500.0,965490.0,1539068.0,4857281.0,5578488.0,127779028.0,131507807.0,299.79,306.15,357.79,382.6,396.53,426.45,322.8,337.01,361.16,1.85,2.18,2.59
SALE_2024_36,36,2024.0,September,168725.0,90519.0,4445044.0,3484581.0,4865358.0,4562564.0,167934964.0,172603114.0,69330.0,5400.0,1576560.0,1907408.0,5103413.0,4658483.0,173956568.0,177995103.0,294.59,316.77,358.78,385.47,394.46,417.17,324.8,338.96,360.97,2.05,2.14,2.5
SALE_2025_35,35,2025.0,September,158059.0,89524.0,7269244.0,4276319.0,4398633.0,4757310.0,170649871.0,163069606.0,26008.0,73980.0,1641239.0,1507230.0,4582700.0,4920814.0,179560354.0,168853155.0,298.25,294.48,314.81,403.35,384.5,396.18,349.79,323.87,338.13,2.01,2.01,2.13
SALE_2025_22,22,2025.0,June,199815.0,128450.0,4769018.0,2455150.0,5819084.0,5183257.0,104902192.0,98603388.0,,,,,6018899.0,5354947.0,110872121.0,101751998.0,294.99,297.14,284.84,398.53,379.41,353.39,335.12,322.62,303.9,2.03,1.89,2.03
