params,mean_test_score,std_test_score,rank_test_score,Segment,Model,mean_test_RMSE
"{'model__max_depth': 16, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",-227.2628813498888,42.59824057625401,4,high_grown,Random Forest,227.2628813498888
"{'model__max_depth': 16, 'model__min_samples_leaf': 3, 'model__n_estimators': 400}",-227.21836433996822,42.064098185383195,2,high_grown,Random Forest,227.21836433996822
"{'model__max_depth': 16, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",-228.7687289721294,42.388339998267746,12,high_grown,Random Forest,228.7687289721294
"{'model__max_depth': 16, 'model__min_samples_leaf': 5, 'model__n_estimators': 400}",-228.88201505568767,42.31040002590183,15,high_grown,Random Forest,228.88201505568767
"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",-425.7799618462499,177.09912434539555,28,low_grown,XGBoost,425.7799618462499
"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",-443.4948051487028,174.84704569301186,36,low_grown,XGBoost,443.4948051487028
"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",-417.28459395227657,183.57714553534151,25,low_grown,XGBoost,417.28459395227657
"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",-429.4934023792915,178.30411469079144,31,low_grown,XGBoost,429.4934023792915
"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",-378.66889868135206,142.4164479974237,4,low_grown,XGBoost,378.66889868135206
"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",-381.36626983389726,133.7737787004944,8,low_grown,XGBoost,381.36626983389726
"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",-376.106145116351,143.845913489197,2,low_grown,XGBoost,376.106145116351
"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 1.0}",-379.1431215276078,135.44996073032675,5,low_grown,XGBoost,379.1431215276078
"{'model__learning_rate': 0.03, 'model__max_depth': 7, 'model__n_estimators': 200, 'model__subsample': 0.8}",-380.4432561023779,136.35468154547812,7,low_grown,XGBoost,380.4432561023779
"{'model__learning_rate': 0.03, 'model__max_depth': 7, 'model__n_estimators': 200, 'model__subsample': 1.0}",-392.1251434274533,124.13702451033639,20,low_grown,XGBoost,392.1251434274533
"{'model__learning_rate': 0.03, 'model__max_depth': 7, 'model__n_estimators': 400, 'model__subsample': 0.8}",-379.817711351435,139.12536622548348,6,low_grown,XGBoost,379.817711351435
"{'model__learning_rate': 0.03, 'model__max_depth': 7, 'model__n_estimators': 400, 'model__subsample': 1.0}",-390.3071942718587,125.49813698108557,19,low_grown,XGBoost,390.3071942718587
"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",-425.17761891389273,180.9077945357062,27,low_grown,XGBoost,425.17761891389273
"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",-439.9391867020883,189.45870826888907,35,low_grown,XGBoost,439.9391867020883
"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",-421.39729809691653,180.57593686007831,26,low_grown,XGBoost,421.39729809691653
"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",-433.68085212292453,189.34159504509483,34,low_grown,XGBoost,433.68085212292453
"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",-376.237372328284,151.97796922356957,3,low_grown,XGBoost,376.237372328284
"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",-386.2426899125483,135.44212686616564,14,low_grown,XGBoost,386.2426899125483
"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",-375.53344096606025,153.01015770302325,1,low_grown,XGBoost,375.53344096606025
"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 1.0}",-385.82172119620543,135.58397231503042,13,low_grown,XGBoost,385.82172119620543
"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__n_estimators': 200, 'model__subsample': 0.8}",-382.7512981260237,151.4913239379023,12,low_grown,XGBoost,382.7512981260237
